IATA_INDIA
AGR
AGX
AJL
AKD
AMD
ATQ
BBI
BDQ
BEK
BEP
BHJ
BHO
BHU
BKB
BLR
BOM
BUP
CBD
CCJ
CCU
CDP
CJB
COH
COK
DAE
DED
DEL
DHM
DIB
DIU
DMU
GAU
GAY
GOI
GOP
GWL
HBX
HJR
HYD
IDR
IMF
ISK
IXA
IXB
IXC
IXD
IXE
IXG
IXH
IXH
IXI
IXJ
IXK
IXL
IXM
IXN
IXP
IXQ
IXR
IXS
IXT
IXU
IXV
IXW
IXY
IXZ
JAI
JDH
JGA
JGB
JLR
JRH
JSA
KLH
KNU
KTU
KUU
LDA
LKO
LUH
MAA
MYQ
MZU
NAG
NDC
NMB
PAB
PAT
PBD
PGH
PGH
PGH
PNQ
PNY
PUI
RAJ
RGH
RJA
RPR
RRK
RTC
RUP
SHL
SLV
SSE
STV
SUN
SXR
SXV
TCR
TEI
TEZ
TIR
TJV
TNI
TRV
TRZ
UDR
VGA
VNS
VTZ
WGC
ZER
